No.,Date,Club,Club Speed,Ball Speed,Smash Factor,Total
1,30/06/2022,Sand Wedge,96.5604,61.15492,0.64,30.1752
2,30/06/2022,Sand Wedge,91.73238,77.24832,0.83,42.9768
3,30/06/2022,Sand Wedge,96.5604,72.4203,0.76,39.3192
4,30/06/2022,Sand Wedge,94.95106,75.63898,0.79,41.148
5,30/06/2022,Sand Wedge,86.90436,78.85766,0.9,44.8056
6,30/06/2022,Sand Wedge,88.5137,117.48182,1.34,78.6384
7,30/06/2022,6 Iron,107.82578,122.30984,1.13,100.584
8,30/06/2022,6 Iron,107.82578,131.96588,1.21,109.728
9,30/06/2022,6 Iron,102.99776,115.87248,1.11,95.0976
10,30/06/2022,6 Iron,99.77908,114.26314,1.14,93.2688
11,30/06/2022,6 Iron,107.82578,130.35654,1.21,108.8136
12,30/06/2022,Driver,119.09116,172.19938,1.43,162.7632
13,30/06/2022,Driver,99.77908,102.99776,1.03,80.4672
14,30/06/2022,Driver,112.6538,162.54334,1.42,150.876
15,30/06/2022,Driver,111.04446,148.05928,1.34,134.4168
16,30/06/2022,Driver,115.87248,160.934,1.39,149.9616
17,30/06/2022,Driver,115.87248,162.54334,1.4,150.876
18,30/06/2022,Driver,114.26314,160.934,1.41,149.0472
19,30/06/2022,Driver,125.52852,167.37136,1.34,158.1912
20,30/06/2022,Driver,115.87248,160.934,1.37,149.0472
21,30/06/2022,Driver,117.48182,172.19938,1.46,162.7632
22,30/06/2022,Driver,117.48182,167.37136,1.42,157.2768
23,30/06/2022,9 Iron,104.6071,117.48182,1.11,83.2104
24,30/06/2022,9 Iron,106.21644,114.26314,1.08,81.3816
25,30/06/2022,9 Iron,99.77908,102.99776,1.03,69.4944
26,30/06/2022,9 Iron,104.6071,109.43512,1.04,75.8952
27,30/06/2022,9 Iron,104.6071,115.87248,1.11,82.296
28,30/06/2022,9 Iron,96.5604,109.43512,1.14,74.9808
29,30/06/2022,9 Iron,102.99776,120.7005,1.15,85.0392
30,30/06/2022,9 Iron,104.6071,111.04446,1.06,76.8096
31,30/06/2022,9 Iron,99.77908,112.6538,1.13,78.6384
32,30/06/2022,9 Iron,102.99776,119.09116,1.15,84.1248
33,30/06/2022,9 Iron,102.99776,131.96588,1.27,95.0976
34,30/06/2022,9 Iron,96.5604,91.73238,0.95,59.436
35,30/06/2022,Pitching Wedge,75.63898,75.63898,1,44.8056
36,30/06/2022,Pitching Wedge,69.20162,75.63898,1.09,44.8056
37,30/06/2022,Pitching Wedge,65.98294,77.24832,1.16,45.72
38,30/06/2022,Pitching Wedge,69.20162,77.24832,1.11,46.6344
39,30/06/2022,Pitching Wedge,64.3736,77.24832,1.18,45.72
40,30/06/2022,Pitching Wedge,70.81096,83.68568,1.17,51.2064
41,30/06/2022,Pitching Wedge,69.20162,74.02964,1.07,42.9768
42,30/06/2022,Pitching Wedge,65.98294,72.4203,1.08,42.0624
43,30/06/2022,Pitching Wedge,78.85766,85.29502,1.09,53.9496
44,30/06/2022,Pitching Wedge,69.20162,78.85766,1.13,46.6344
45,30/06/2022,Pitching Wedge,62.76426,54.71756,0.86,26.5176
46,30/06/2022,Sand Wedge,61.15492,54.71756,0.91,23.7744
47,30/06/2022,Sand Wedge,65.98294,64.3736,0.97,31.0896
48,30/06/2022,Sand Wedge,62.76426,48.2802,0.75,17.3736
49,30/06/2022,Sand Wedge,64.3736,54.71756,0.97,31.0896
50,30/06/2022,Sand Wedge,54.71756,54.71756,0.78,23.7744
51,30/06/2022,Sand Wedge,72.4203,61.15492,0.83,29.2608
52,30/06/2022,Sand Wedge,54.71756,51.49888,0.93,21.0312
53,30/06/2022,Sand Wedge,70.81096,88.5137,1.25,53.0352
54,30/06/2022,Sand Wedge,67.59228,57.93624,0.85,26.5176
55,30/06/2022,Sand Wedge,57.93624,53.10822,0.91,21.9456
56,30/06/2022,Sand Wedge,72.4203,69.20162,0.95,35.6616
57,30/06/2022,Sand Wedge,75.63898,74.02964,0.96,40.2336
58,30/06/2022,Sand Wedge,48.2802,54.71756,1.14,23.7744
59,30/06/2022,5 Hybrid,112.6538,146.44994,1.29,128.9304
60,30/06/2022,5 Hybrid,114.26314,146.44994,1.28,129.8448
61,30/06/2022,5 Hybrid,112.6538,151.27796,1.35,133.5024
62,30/06/2022,5 Hybrid,117.48182,143.23126,1.23,127.1016
63,30/06/2022,5 Hybrid,119.09116,151.27796,1.26,132.588
64,30/06/2022,5 Hybrid,119.09116,143.23126,1.21,126.1872
65,30/06/2022,5 Hybrid,111.04446,154.49664,1.38,136.2456
66,30/06/2022,5 Hybrid,109.43512,148.05928,1.34,129.8448
67,30/06/2022,5 Hybrid,107.82578,149.66862,1.37,131.6736
68,30/06/2022,Driver,119.09116,172.19938,1.43,161.8488
69,30/06/2022,Driver,115.87248,164.15268,1.41,152.7048
70,30/06/2022,Driver,122.30984,170.59004,1.4,161.8488
71,30/06/2022,Driver,119.09116,167.37136,1.4,156.3624
72,30/06/2022,Driver,122.30984,167.37136,1.37,157.2768
73,30/06/2022,Driver,123.91918,165.76202,1.34,155.448
74,30/06/2022,Driver,119.09116,164.15268,1.38,152.7048
75,30/06/2022,Driver,140.01258,143.23126,1.02,128.016
76,30/06/2022,Driver,106.21644,154.49664,1.44,141.732
77,30/06/2022,Driver,85.29502,88.5137,1.05,63.0936
78,30/06/2022,6 Iron,112.6538,141.62192,1.26,119.7864
79,30/06/2022,6 Iron,109.43512,131.96588,1.21,110.6424
80,30/06/2022,6 Iron,107.82578,127.13786,1.16,105.156
81,30/06/2022,6 Iron,109.43512,127.13786,1.16,105.156
82,30/06/2022,6 Iron,123.91918,130.35654,1.04,107.8992
83,30/06/2022,6 Iron,107.82578,120.7005,1.1,99.6696
84,30/06/2022,6 Iron,109.43512,122.30984,1.11,100.584
85,30/06/2022,6 Iron,90.12304,94.95106,1.04,74.9808
86,30/06/2022,6 Iron,109.43512,135.18456,1.23,113.3856
87,30/06/2022,6 Iron,101.38842,114.26314,1.13,94.1832
88,30/06/2022,6 Iron,101.38842,123.91918,1.21,102.4128
89,30/06/2022,6 Iron,104.6071,123.91918,1.18,105.156
90,30/06/2022,6 Iron,107.82578,127.13786,1.19,108.8136
91,30/06/2022,6 Iron,115.87248,120.7005,1.03,100.584
